precinct,ballots_pct_of_total_avg_dw
ALEPPO,0.07459850299116895
ASPINWALL,0.2957389090974557
AVALON,0.2808903595925502
BALDWIN BR,1.6315402103498522
BALDWIN TP,0.15650831714527333
BELL ACRES,0.07626268424024749
BELLEVUE,0.6551592641498358
BEN AVON,0.16150839762731523
BEN AVON HEIGHTS,0.02146292541109972
BETHEL PARK,2.3052919111671253
BLAWNOX,0.12685934147703326
BRACKENRIDGE,0.17074134760753712
BRADDOCK,0.2185641774248411
BRADDOCK HILLS,0.1960524671473307
BRADFORD WOODS,0.06383587541756633
BRENTWOOD,0.5586306236442694
BRIDGEVILLE,0.25835093117198576
CARNEGIE,0.5331676957594746
CASTLE SHANNON,0.49887935754430224
CHALFANT,0.07130201071680255
CHESWICK,0.16417859998820641
CHURCHILL,0.3362003810936629
CLAIRTON,0.8682085643847145
COLLIER,0.47084500887630876
CORAOPOLIS,0.5114524062079635
CRAFTON,0.4446723323633418
CRESCENT,0.13958003813356784
DORMONT,0.8300540630006691
DRAVOSBURG,0.1915268615072646
DUQUESNE,0.5515443071303132
EAST MCKEESPORT,0.19853502862724048
EAST PITTSBURGH,0.19355940446293168
EAST DEER,0.082928356069999
EDGEWOOD,0.3618403441362613
EDGEWORTH,0.074022560800831
ELIZABETH BR,0.09097190698928047
ELIZABETH TP,1.0384243243757423
EMSWORTH,0.136414094413021
ETNA,0.2035605229838453
FAWN,0.11493531341812582
FINDLAY,0.2384770884043808
FOREST HILLS,0.7368073833551368
FORWARD,0.21430252394487337
FOX CHAPEL,0.30042130111345305
FRANKLIN PARK,0.5181545213526435
FRAZER,0.04967614707615091
GLASSPORT,0.504746673079465
GLEN OSBORNE,0.04216261855420581
GLENFIELD,0.01480795106118007
GREEN TREE,0.37870344792077765
HAMPTON,0.7507725784091207
HARMAR,0.2491465081169444
HARRISON,0.6863271754821428
HAYSVILLE,0.004201806536756756
HEIDELBERG,0.10906001077653285
HOMESTEAD,0.33698009608758206
INDIANA,0.34337197476837317
INGRAM,0.24577626074052308
